UDI,Product ID,Type,Air temperature,Process temperature,Rotational speed,Torque,Tool wear,Machine failure,TWF,HDF,PWF,OSF,RNF,Failure Type
1,14860.0,M,298.1,308.6,1551.0,42.8,0.0,0,0,0,0,0,0,Tool Wear Failure
2,47181.0,L,298.2,308.7,1408.0,46.3,3.0,0,0,0,0,0,0,Tool Wear Failure
3,47182.0,L,298.1,308.5,1498.0,49.4,5.0,0,0,0,0,0,0,Tool Wear Failure
4,47183.0,L,298.2,308.6,1433.0,39.5,7.0,0,0,0,0,0,0,Tool Wear Failure
5,47184.0,L,298.2,308.7,1408.0,40.0,9.0,0,0,0,0,0,0,Tool Wear Failure
6,14865.0,M,298.1,308.6,1425.0,41.9,11.0,0,0,0,0,0,0,Tool Wear Failure
7,47186.0,L,298.1,308.6,1558.0,42.4,14.0,0,0,0,0,0,0,Tool Wear Failure
8,47187.0,L,298.1,308.6,1527.0,40.2,16.0,0,0,0,0,0,0,Tool Wear Failure
9,14868.0,M,298.3,308.7,1667.0,28.6,18.0,0,0,0,0,0,0,Tool Wear Failure
10,14869.0,M,298.5,309.0,1741.0,28.0,21.0,0,0,0,0,0,0,Tool Wear Failure
11,29424.0,H,298.4,308.9,1782.0,23.9,24.0,0,0,0,0,0,0,Tool Wear Failure
12,29425.0,H,298.6,309.1,1423.0,44.3,29.0,0,0,0,0,0,0,Tool Wear Failure
13,14872.0,M,298.6,309.1,1339.0,51.1,34.0,0,0,0,0,0,0,Tool Wear Failure
14,14873.0,M,298.6,309.2,1742.0,30.0,37.0,0,0,0,0,0,0,Tool Wear Failure
15,47194.0,L,298.6,309.2,2035.0,19.6,40.0,0,0,0,0,0,0,Tool Wear Failure
16,47195.0,L,298.6,309.2,1542.0,48.4,42.0,0,0,0,0,0,0,Tool Wear Failure
17,14876.0,M,298.6,309.2,1311.0,46.6,44.0,0,0,0,0,0,0,Tool Wear Failure
18,14877.0,M,298.7,309.2,1410.0,45.6,47.0,0,0,0,0,0,0,Tool Wear Failure
19,29432.0,H,298.8,309.2,1306.0,54.5,50.0,0,0,0,0,0,0,Tool Wear Failure
20,14879.0,M,298.9,309.3,1632.0,32.5,55.0,0,0,0,0,0,0,Tool Wear Failure
21,29434.0,H,298.9,309.3,1375.0,42.7,58.0,0,0,0,0,0,0,Tool Wear Failure
22,47201.0,L,298.8,309.3,1450.0,44.8,63.0,0,0,0,0,0,0,Tool Wear Failure
23,14882.0,M,298.9,309.3,1581.0,30.7,65.0,0,0,0,0,0,0,Tool Wear Failure
24,47203.0,L,299.0,309.4,1758.0,25.7,68.0,0,0,0,0,0,0,Tool Wear Failure
25,14884.0,M,299.0,309.4,1561.0,37.3,70.0,0,0,0,0,0,0,Tool Wear Failure
26,47205.0,L,299.0,309.5,1861.0,23.3,73.0,0,0,0,0,0,0,Tool Wear Failure
27,47206.0,L,299.1,309.5,1512.0,39.0,75.0,0,0,0,0,0,0,Tool Wear Failure
28,29441.0,H,299.1,309.4,1811.0,24.6,77.0,0,0,0,0,0,0,Tool Wear Failure
29,47208.0,L,299.1,309.4,1439.0,44.2,82.0,0,0,0,0,0,0,Tool Wear Failure
30,47209.0,L,299.0,309.4,1693.0,30.1,84.0,0,0,0,0,0,0,Tool Wear Failure
31,14890.0,M,299.1,309.5,1339.0,48.2,86.0,0,0,0,0,0,0,Tool Wear Failure
32,47211.0,L,299.0,309.4,1798.0,25.5,89.0,0,0,0,0,0,0,Tool Wear Failure
33,47212.0,L,299.0,309.4,1419.0,48.3,91.0,0,0,0,0,0,0,Tool Wear Failure
34,47213.0,L,298.9,309.3,1665.0,32.5,93.0,0,0,0,0,0,0,Tool Wear Failure
35,14894.0,M,298.8,309.1,1559.0,34.7,95.0,0,0,0,0,0,0,Tool Wear Failure
36,14895.0,M,298.8,309.2,1452.0,48.6,98.0,0,0,0,0,0,0,Tool Wear Failure
37,14896.0,M,298.9,309.2,1581.0,36.7,101.0,0,0,0,0,0,0,Tool Wear Failure
38,47217.0,L,298.8,309.1,1439.0,39.2,104.0,0,0,0,0,0,0,Tool Wear Failure
39,29452.0,H,298.9,309.2,1379.0,50.7,106.0,0,0,0,0,0,0,Tool Wear Failure
40,47219.0,L,298.8,309.1,1350.0,52.5,111.0,0,0,0,0,0,0,Tool Wear Failure
41,47220.0,L,298.8,309.1,1362.0,45.4,113.0,0,0,0,0,0,0,Tool Wear Failure
42,47221.0,L,298.8,309.1,1368.0,50.8,115.0,0,0,0,0,0,0,Tool Wear Failure
43,14902.0,M,298.8,309.1,1368.0,49.1,117.0,0,0,0,0,0,0,Tool Wear Failure
44,29457.0,H,298.8,309.2,1372.0,48.5,120.0,0,0,0,0,0,0,Tool Wear Failure
45,14904.0,M,298.8,309.1,1472.0,47.5,125.0,0,0,0,0,0,0,Tool Wear Failure
46,47225.0,L,298.8,309.1,1489.0,49.1,128.0,0,0,0,0,0,0,Tool Wear Failure
47,14906.0,M,298.7,309.0,1843.0,25.8,130.0,0,0,0,0,0,0,Tool Wear Failure
48,47227.0,L,298.8,309.1,1418.0,46.3,133.0,0,0,0,0,0,0,Tool Wear Failure
49,29462.0,H,298.8,309.2,1425.0,53.9,135.0,0,0,0,0,0,0,Tool Wear Failure
50,14909.0,M,298.9,309.2,1412.0,44.1,140.0,0,0,0,0,0,0,Tool Wear Failure
51,47230.0,L,298.9,309.1,2861.0,4.6,143.0,1,0,0,1,0,0,Power Failure
52,47231.0,L,298.9,309.1,1383.0,54.9,145.0,0,0,0,0,0,0,Tool Wear Failure
53,29466.0,H,298.8,309.0,1497.0,43.8,147.0,0,0,0,0,0,0,Tool Wear Failure
54,47233.0,L,298.7,309.0,1565.0,35.1,152.0,0,0,0,0,0,0,Tool Wear Failure
55,47234.0,L,298.7,309.0,1691.0,30.1,154.0,0,0,0,0,0,0,Tool Wear Failure
56,47235.0,L,298.8,309.1,1512.0,40.7,156.0,0,0,0,0,0,0,Tool Wear Failure
57,47236.0,L,298.8,309.1,1477.0,42.4,158.0,0,0,0,0,0,0,Tool Wear Failure
58,47237.0,L,298.8,309.1,1513.0,40.3,160.0,0,0,0,0,0,0,Tool Wear Failure
59,14918.0,M,298.8,309.0,1661.0,29.5,162.0,0,0,0,0,0,0,Tool Wear Failure
60,47239.0,L,298.8,309.1,1378.0,54.4,165.0,0,0,0,0,0,0,Tool Wear Failure
61,47240.0,L,298.8,309.1,1393.0,52.6,167.0,0,0,0,0,0,0,Tool Wear Failure
62,14921.0,M,298.8,309.0,1592.0,38.2,169.0,0,0,0,0,0,0,Tool Wear Failure
63,47242.0,L,298.8,309.0,1829.0,22.9,172.0,0,0,0,0,0,0,Tool Wear Failure
64,14923.0,M,298.9,309.0,1812.0,25.9,174.0,0,0,0,0,0,0,Tool Wear Failure
65,47244.0,L,299.0,309.1,1523.0,38.6,177.0,0,0,0,0,0,0,Tool Wear Failure
66,47245.0,L,299.0,309.1,1394.0,45.1,179.0,0,0,0,0,0,0,Tool Wear Failure
67,14926.0,M,298.9,308.9,1679.0,28.7,181.0,0,0,0,0,0,0,Tool Wear Failure
68,29481.0,H,298.8,308.9,1466.0,44.1,184.0,0,0,0,0,0,0,Tool Wear Failure
69,47248.0,L,298.8,308.9,1527.0,32.4,189.0,0,0,0,0,0,0,Tool Wear Failure
70,47249.0,L,298.9,309.0,1410.0,65.7,191.0,1,0,0,1,1,0,Power Failure
71,14930.0,M,298.9,309.0,1924.0,22.6,193.0,0,0,0,0,0,0,Tool Wear Failure
72,47251.0,L,298.9,309.1,1452.0,45.5,196.0,0,0,0,0,0,0,Tool Wear Failure
73,47252.0,L,298.9,309.1,1369.0,44.4,198.0,0,0,0,0,0,0,Tool Wear Failure
74,47253.0,L,299.0,309.1,1592.0,35.0,200.0,0,0,0,0,0,0,Tool Wear Failure
75,47254.0,L,298.9,309.0,1601.0,32.3,202.0,0,0,0,0,0,0,Tool Wear Failure
76,47255.0,L,298.8,308.9,1379.0,46.7,204.0,0,0,0,0,0,0,Tool Wear Failure
77,47256.0,L,298.8,308.9,1461.0,47.9,206.0,0,0,0,0,0,0,Tool Wear Failure
78,47257.0,L,298.8,308.9,1455.0,41.3,208.0,1,1,0,0,0,0,Tool Wear Failure
79,47258.0,L,298.8,308.9,1398.0,51.5,0.0,0,0,0,0,0,0,Tool Wear Failure
80,47259.0,L,298.8,308.9,1402.0,37.9,2.0,0,0,0,0,0,0,Tool Wear Failure
81,29494.0,H,298.8,308.8,1445.0,49.9,4.0,0,0,0,0,0,0,Tool Wear Failure
82,47261.0,L,298.9,308.9,1450.0,47.5,9.0,0,0,0,0,0,0,Tool Wear Failure
83,47262.0,L,298.9,308.9,1453.0,40.8,11.0,0,0,0,0,0,0,Tool Wear Failure
84,47263.0,L,299.0,309.0,1469.0,40.1,13.0,0,0,0,0,0,0,Tool Wear Failure
85,47264.0,L,298.9,308.9,1422.0,47.6,15.0,0,0,0,0,0,0,Tool Wear Failure
86,14945.0,M,299.0,309.0,1804.0,26.8,17.0,0,0,0,0,0,0,Tool Wear Failure
87,29500.0,H,299.0,309.0,1436.0,43.9,20.0,0,0,0,0,0,0,Tool Wear Failure
88,47267.0,L,299.0,309.0,1544.0,31.8,25.0,0,0,0,0,0,0,Tool Wear Failure
89,14948.0,M,299.0,309.0,1419.0,45.2,27.0,0,0,0,0,0,0,Tool Wear Failure
90,14949.0,M,298.9,308.9,1487.0,39.5,30.0,0,0,0,0,0,0,Tool Wear Failure
91,47270.0,L,298.9,308.9,1753.0,25.8,33.0,0,0,0,0,0,0,Tool Wear Failure
92,47271.0,L,298.9,308.9,1830.0,24.9,35.0,0,0,0,0,0,0,Tool Wear Failure
93,14952.0,M,298.9,308.9,1727.0,27.1,37.0,0,0,0,0,0,0,Tool Wear Failure
94,47273.0,L,299.1,309.0,1450.0,43.0,40.0,0,0,0,0,0,0,Tool Wear Failure
95,47274.0,L,299.0,308.9,1622.0,31.9,42.0,0,0,0,0,0,0,Tool Wear Failure
96,14955.0,M,299.0,309.0,1351.0,52.2,44.0,0,0,0,0,0,0,Tool Wear Failure
97,14956.0,M,299.0,309.0,1575.0,35.3,47.0,0,0,0,0,0,0,Tool Wear Failure
98,14957.0,M,298.9,308.9,1750.0,29.9,50.0,0,0,0,0,0,0,Tool Wear Failure
99,47278.0,L,298.9,308.8,1529.0,32.7,53.0,0,0,0,0,0,0,Tool Wear Failure
100,47279.0,L,298.8,308.8,1523.0,44.4,55.0,0,0,0,0,0,0,Tool Wear Failure
101,47280.0,L,298.8,308.9,1852.0,25.0,57.0,0,0,0,0,0,0,Tool Wear Failure
102,47281.0,L,298.8,308.8,1991.0,20.7,59.0,0,0,0,0,0,0,Tool Wear Failure
103,47282.0,L,298.8,308.8,1555.0,40.6,61.0,0,0,0,0,0,0,Tool Wear Failure
104,14963.0,M,298.8,308.8,1441.0,40.5,63.0,0,0,0,0,0,0,Tool Wear Failure
105,47284.0,L,298.8,308.7,1450.0,43.4,66.0,0,0,0,0,0,0,Tool Wear Failure
106,47285.0,L,298.8,308.7,1591.0,31.1,68.0,0,0,0,0,0,0,Tool Wear Failure
107,47286.0,L,298.8,308.7,1445.0,48.5,70.0,0,0,0,0,0,0,Tool Wear Failure
108,14967.0,M,298.8,308.8,1497.0,46.8,72.0,0,0,0,0,0,0,Tool Wear Failure
109,29522.0,H,298.9,308.8,1621.0,32.7,75.0,0,0,0,0,0,0,Tool Wear Failure
110,47289.0,L,298.9,308.7,1572.0,34.1,80.0,0,0,0,0,0,0,Tool Wear Failure
111,47290.0,L,298.8,308.6,1872.0,22.5,82.0,0,0,0,0,0,0,Tool Wear Failure
112,29525.0,H,298.7,308.6,1499.0,43.5,84.0,0,0,0,0,0,0,Tool Wear Failure
113,14972.0,M,298.8,308.7,1498.0,39.5,89.0,0,0,0,0,0,0,Tool Wear Failure
114,14973.0,M,298.8,308.6,1486.0,41.9,92.0,0,0,0,0,0,0,Tool Wear Failure
115,47294.0,L,298.8,308.6,1680.0,29.4,95.0,0,0,0,0,0,0,Tool Wear Failure
116,47295.0,L,298.8,308.6,1431.0,45.7,97.0,0,0,0,0,0,0,Tool Wear Failure
117,47296.0,L,298.9,308.7,1564.0,34.1,99.0,0,0,0,0,0,0,Tool Wear Failure
118,47297.0,L,298.8,308.6,1599.0,33.0,101.0,0,0,0,0,0,0,Tool Wear Failure
119,14978.0,M,298.8,308.6,1707.0,28.1,103.0,0,0,0,0,0,0,Tool Wear Failure
120,47299.0,L,298.7,308.5,1467.0,40.7,106.0,0,0,0,0,0,0,Tool Wear Failure
